Product,Sales,Target
Laptops,50000,45000
Monitors,12000,15000
Keyboards,3000,2500
Mice,1500,2000
Printers,8000,7500
Speakers,4200,5000
Webcams,2500,3000
Hard Disks,15000,14000
Pendrives,6000,5500
RAM,18000,17000
Motherboards,22000,21000
Processors,40000,38000
Graphics Cards,35000,36000
UPS,7000,6500
Routers,9000,8500
Projectors,28000,30000
CCTV Cameras,16000,15000
Smart Watches,14000,13000
Mobile Phones,60000,58000
Tablets,25000,24000
Power Banks,5000,4500
Headphones,11000,12000
Earbuds,17000,16000
Chargers,4000,3500
Laptop Bags,3500,3000
Cooling Pads,2500,2000
Office Chairs,20000,19000
Desks,18000,17500
Air Conditioners,75000,70000
Washing Machines,68000,65000
Refrigerators,72000,70000
Televisions,90000,85000
Smart TVs,105000,100000
Microwaves,25000,23000
Induction Stoves,12000,11000
Fans,8000,9000
Water Purifiers,35000,34000
Vacuum Cleaners,15000,14000
Bluetooth Speakers,10000,9500
Gaming Consoles,45000,43000
Gaming Controllers,7000,6500
Laptop Stands,3000,2800
Mouse Pads,1200,1000
HDMI Cables,2500,2200
Extension Boards,4000,3800
Smart Lights,9000,8500
Smart Plugs,6500,6000
WiFi Extenders,7000,7500
